Period,Birth_Death,Region,Count
2013,Deaths,Northland region,1365
2013,Deaths,Auckland region,7566
2013,Deaths,Waikato region,2919
2013,Deaths,Bay of Plenty region,2238
2013,Deaths,Gisborne region,399
2013,Deaths,Hawke's Bay region,1269
2013,Deaths,Taranaki region,888
2013,Deaths,Manawatu-Wanganui region,1947
2013,Deaths,Wellington region,3024
2013,Deaths,Tasman region,372
2013,Deaths,Nelson region,411
2013,Deaths,Marlborough region,396
2013,Deaths,West Coast region,291
2013,Deaths,Canterbury region,4098
2013,Deaths,Otago region,1581
2013,Deaths,Southland region,780
2013,Deaths,"Region not stated or
area outside region",24
2013,Deaths,New Zealand,29568
2014,Births,Northland region,2049
2014,Births,Auckland region,21429
2014,Births,Waikato region,5688
2014,Births,Bay of Plenty region,3504
2014,Births,Gisborne region,651
2014,Births,Hawke's Bay region,2037
2014,Births,Taranaki region,1506
2014,Births,Manawatu-Wanganui region,2865
2014,Births,Wellington region,5889
2014,Births,Tasman region,411
2014,Births,Nelson region,534
2014,Births,Marlborough region,486
2014,Births,West Coast region,375
2014,Births,Canterbury region,6573
2014,Births,Otago region,2088
2014,Births,Southland region,1134
2014,Births,"Region not stated or
area outside region",21
2014,Births,New Zealand,57243
2014,Deaths,Northland region,1377
2014,Deaths,Auckland region,8034
2014,Deaths,Waikato region,2955
2014,Deaths,Bay of Plenty region,2352
2014,Deaths,Gisborne region,387
2014,Deaths,Hawke's Bay region,1377
2014,Deaths,Taranaki region,963
2014,Deaths,Manawatu-Wanganui region,2064
2014,Deaths,Wellington region,3186
2014,Deaths,Tasman region,339
2014,Deaths,Nelson region,402
2014,Deaths,Marlborough region,381
2014,Deaths,West Coast region,279
2014,Deaths,Canterbury region,4422
2014,Deaths,Otago region,1689
2014,Deaths,Southland region,816
2014,Deaths,"Region not stated or
area outside region",42
2014,Deaths,New Zealand,31062
2015,Births,Northland region,2196
2015,Births,Auckland region,22434
2015,Births,Waikato region,6234
2015,Births,Bay of Plenty region,3879
2015,Births,Gisborne region,717
2015,Births,Hawke's Bay region,2145
2015,Births,Taranaki region,1611
2015,Births,Manawatu-Wanganui region,3072
2015,Births,Wellington region,6231
2015,Births,Tasman region,447
2015,Births,Nelson region,534
2015,Births,Marlborough region,489
2015,Births,West Coast region,381
2015,Births,Canterbury region,7077
2015,Births,Otago region,2358
2015,Births,Southland region,1224
2015,Births,"Region not stated or
area outside region",12
2015,Births,New Zealand,61038
2015,Deaths,Northland region,1443
2015,Deaths,Auckland region,8175
2015,Deaths,Waikato region,3105
2015,Deaths,Bay of Plenty region,2517
2015,Deaths,Gisborne region,351
2015,Deaths,Hawke's Bay region,1467
2015,Deaths,Taranaki region,1008
2015,Deaths,Manawatu-Wanganui region,2016
2015,Deaths,Wellington region,3150
2015,Deaths,Tasman region,375
2015,Deaths,Nelson region,447
2015,Deaths,Marlborough region,411
2015,Deaths,West Coast region,294
2015,Deaths,Canterbury region,4305
2015,Deaths,Otago region,1641
2015,Deaths,Southland region,879
2015,Deaths,"Region not stated or
area outside region",24
2015,Deaths,New Zealand,31608
2016,Births,Northland region,2229
2016,Births,Auckland region,21810
2016,Births,Waikato region,6066
2016,Births,Bay of Plenty region,3864
2016,Births,Gisborne region,738
2016,Births,Hawke's Bay region,2058
2016,Births,Taranaki region,1473
2016,Births,Manawatu-Wanganui region,2928
2016,Births,Wellington region,6015
2016,Births,Tasman region,453
2016,Births,Nelson region,540
2016,Births,Marlborough region,534
2016,Births,West Coast region,324
2016,Births,Canterbury region,7014
2016,Births,Otago region,2199
2016,Births,Southland region,1161
2016,Births,"Region not stated or
area outside region",15
2016,Births,New Zealand,59427
2016,Deaths,Northland region,1563
2016,Deaths,Auckland region,8007
2016,Deaths,Waikato region,3066
2016,Deaths,Bay of Plenty region,2403
2016,Deaths,Gisborne region,378
2016,Deaths,Hawke's Bay region,1368
2016,Deaths,Taranaki region,981
2016,Deaths,Manawatu-Wanganui region,2082
2016,Deaths,Wellington region,3237
2016,Deaths,Tasman region,384
2016,Deaths,Nelson region,447
2016,Deaths,Marlborough region,426
2016,Deaths,West Coast region,267
2016,Deaths,Canterbury region,4158
2016,Deaths,Otago region,1536
2016,Deaths,Southland region,855
2016,Deaths,"Region not stated or
area outside region",24
2016,Deaths,New Zealand,31179
2017,Births,Northland region,2247
2017,Births,Auckland region,21393
2017,Births,Waikato region,6204
2017,Births,Bay of Plenty region,4086
2017,Births,Gisborne region,705
2017,Births,Hawke's Bay region,2127
2017,Births,Taranaki region,1389
2017,Births,Manawatu-Wanganui region,3045
2017,Births,Wellington region,6057
2017,Births,Tasman region,459
2017,Births,Nelson region,504
2017,Births,Marlborough region,495
2017,Births,West Coast region,363
2017,Births,Canterbury region,7065
2017,Births,Otago region,2241
2017,Births,Southland region,1215
2017,Births,"Region not stated or
area outside region",15
2017,Births,New Zealand,59610
2017,Deaths,Northland region,1611
2017,Deaths,Auckland region,8577
2017,Deaths,Waikato region,3378
2017,Deaths,Bay of Plenty region,2676
2017,Deaths,Gisborne region,432
2017,Deaths,Hawke's Bay region,1527
2017,Deaths,Taranaki region,1017
2017,Deaths,Manawatu-Wanganui region,2262
2017,Deaths,Wellington region,3300
2017,Deaths,Tasman region,372
2017,Deaths,Nelson region,468
2017,Deaths,Marlborough region,405
2017,Deaths,West Coast region,309
2017,Deaths,Canterbury region,4494
2017,Deaths,Otago region,1647
2017,Deaths,Southland region,849
2017,Deaths,"Region not stated or
area outside region",21
2017,Deaths,New Zealand,33342
,,,
